LDZA;Zagreb Airport;45.7429008484;16.0687999725
LDVA;Varaždin Airport;46.2946472;16.382932662963867
LDSP;Split Airport;43.53889846;16.29800033569336
LOWW;Vienna International Airport;48.1102981567;16.569700241089
EDDF;Frankfurt am Main Airport;50.033333;8.570556
EPWA;Warsaw Chopin Airport;52.1656990;20.967100143399996
LFPG;Charles de Gaulle International Airport - Paris;49.012798;2.55
UUWW;Vnukovo International Airport - Moscow;55.5914993286;37.2615013123
EHAM;Amsterdam Airport Schiphol;52.308601;4.76389
LIMC;Malpensa International Airport - Milan;45.6306;8.72811
EDDM;Munich Airport;48.353802;11.7861
LIPX;Verona Villafranca Airport;45.395699;10.8885
EKCH;Copenhagen Kastrup Airport;55.6179008483;12.656000137329
OMDB;Dubai International Airport;25.2527999878;55.3643989563
EGLL;London Heathrow Airport;51.4706;-0.461941
EGSS;London Stansted Airport;51.8849983215;0.234999999404
KEWR;Newark Liberty International Airport - New York;40.692501068;-74.168701171875
KORD;Chicago O'Hare International Airport;41.9786;-87.9048
LCEN;Ercan International Airport - Nicosia;35.15470123;33.49610137939453
LLBG;Ben Gurion International Airport - Tel Aviv;32.01139831;34.88669967651367
EBBR;Brussels Airport;50.901401519800;4.48443984985
LEBL;Barcelona International Airport;41.2971;2.07846
LEVC;Valencia Airport;39.4893;-0.481625
RCTP;Taiwan Taoyuan International Airport;25.0777;121.233002
VHHH;Hong Kong International Airport;22.308901;113.915001
OERK;King Khaled International Airport - Riyadh;24.95759963;46.69879913330078
LPPT;Humberto Delgado Airport (Lisbon Portela Airport);38.7813;-9.13592
CYYZ;Lester B. Pearson International Airport - Toronto;43.6772003;-79.63059997559999
GMMN;Mohammed V International Airport - Casablanca;33.3675003;-7.589970111846924
KLAX;Los Angeles International Airport;33.94250107;-118.4079971
KSEA;Seattle Tacoma International Airport;47.449001;-122.308998
KSFO;San Francisco International Airport;37.61899948120117;-122.375
KBNA;Nashville International Airport;36.12450027;-86.6781997680664
KJFK;John F Kennedy International Airport - New York;40.63980103;-73.77890015
NZAA;Auckland International Airport;-37.00809860229;174.792007446
YSSY;Sydney Kingsford Smith International Airport;-33.94609832;151.177001953125
SBGR;Guarulhos - Franco Montoro International Airport - Sao Paulo;-23.435556;-46.47305679321289
LHBP;Budapest Liszt Ferenc International Airport;47.42976;19.261093
LSGG;Geneva Cointrin International Airport;46.23809814;6.108950138092041
MMMX;Licenciado Benito Juarez International Airport - Mexico City;19.4363;-99.072098
